ID_JF	N	niche.mean	niche.med	niche.sd	bio	long	lat	Temp	Alt	Area	Brealm
AFHS24792	1000	0.276526316	0.263157895	0.151041809	0.138917	-10.9	15	29.6	140	97	Afrotropical
AFHS28449	1000	0.283789474	0.263157895	0.147877225	0.106393	-13.5	13.3	28	9	135	Afrotropical
AFHS28841	1000	0.268526316	0.263157895	0.136784911	0.179499	16.6	11	27.9	22	62	Afrotropical
AFHS34726	1000	0.220263158	0.157894737	0.146411494	0.09573	-14.1	11.3	26.3	58	147	Afrotropical
AFHS39731	1000	0.258578948	0.210526316	0.131638794	0.173222	3.9	7.6	26.8	101	91	Afrotropical
AFHS39933	1000	0.254789474	0.210526316	0.143532368	0.132665	2.4	8.4	26.9	93	111	Afrotropical
AFHS40106	1000	0.255157895	0.210526316	0.134961485	0.094149	1.3	8	26.6	128	50	Afrotropical
AFHS40877	1000	0.247578948	0.210526316	0.140749237	0.18201	-1.4	10.5	27.6	130	96	Afrotropical
AFHS41919	1000	0.255578948	0.210526316	0.15826541	0.101645	-4.3	5.9	26.4	31	144	Afrotropical
AFHS42117	1000	0.259789474	0.263157895	0.130883299	0.125816	-4	8.5	26.1	99	141	Afrotropical
AFHS42296	1000	0.231263158	0.210526316	0.136837283	0.119047	-2.7	6.3	25.7	64	156	Afrotropical
AFHS42321	1000	0.282842105	0.263157895	0.150974235	0.094565	-5.4	8	25.7	111	6	Afrotropical
AFHS42682	1000	0.218052632	0.157894737	0.121963631	0.135471	-1.4	6.2	26.2	57	54	Afrotropical
AFHS42801	1000	0.269473684	0.263157895	0.121085726	0.106179	-7.1	7.4	25.5	134	132	Afrotropical
AFHS43174	1000	0.249210527	0.210526316	0.129293947	0.265167	8.6	6.2	27.6	23	107	Afrotropical
AFHS44377	1000	0.244105263	0.210526316	0.106193612	0.146077	7.3	5.2	27.7	68	143	Afrotropical
AFHS45465	1000	0.239473684	0.210526316	0.139553408	0.272803	3.5	13.8	28.6	42	53	Afrotropical
AFHS54029	1000	0.172736842	0.157894737	0.119156798	0.878033	22.9	-2.5	24.9	59	88	Afrotropical
AFHS57499	1000	0.188842105	0.157894737	0.122595225	0.180906	36.9	-12.1	23.1	30	38	Afrotropical
AFHS72030	1000	0.231578947	0.210526316	0.181696513	0.13529	31.8	-20.2	20.9	32	14	Afrotropical
AFHS76167	1000	0.214578948	0.210526316	0.142342739	0.239035	29.4	-23.3	19.1	40	99	Afrotropical
AFHS76969	1000	0.186368421	0.157894737	0.136690848	0.191924	31.6	-25.3	22.3	44	106	Afrotropical
AFHS77516	1000	0.206736842	0.157894737	0.158314039	0.205702	31.2	-26.9	21.2	41	81	Afrotropical
AFHS78611	1000	0.198	0.157894737	0.159435748	0.311803	22.6	-27.3	19.1	78	154	Afrotropical
AUHS13338	1000	0.235526316	0.210526316	0.105754281	0.334785	131.8	-14.5	27.3	88	114	Australian
AUHS40966	1000	0.260263158	0.263157895	0.118567746	0.165919	146.5	-21	24	136	28	Australian
AUHS73941	1000	0.298210527	0.315789474	0.139284355	0.262448	147.2	-31.4	18.8	32	8	Australian
CAHS10622	1000	0.300631579	0.263157895	0.166893659	0.509042	-103.7	30.5	16.5	77	149	Nearctic
CAHS28863	1000	0.285368421	0.210526316	0.161908453	0.710113	-99.3	21.6	23.4	63	159	Neotropical
CAHS46660	1000	0.199842105	0.210526316	0.1333794	0.578998	-91.7	16.6	21.8	53	138	Neotropical
EAJF112555	1000	0.233631579	0.210526316	0.124146313	0.474441	115.9	0.4	26.8	8	158	Oriental
EAJF127578	1000	0.20431579	0.210526316	0.106129881	0.511636	113.5	2.1	22.5	47	110	Oriental
EAJF129145	1000	0.180526316	0.210526316	0.095208946	0.429705	103.5	2.3	26.3	129	98	Oriental
EAJF135491	1000	0.197842105	0.210526316	0.109180049	0.396979	114.8	3.5	26.3	47	42	Oriental
EAJF169633	1000	0.211631579	0.210526316	0.123970633	0.276154	76.6	9.6	27.6	12	21	Oriental
