"","ID_JF","N","niche.mean","niche.med","niche.sd","bio","long","lat","Temp","Alt","Area","Brealm"
"1","AFHS24792",1000,0.278526315981,0.263157895,0.150814473397128,0.138917,-10.9,15,29.6,140,97,"Afrotropical"
"2","AFHS28449",1000,0.295315789634,0.263157895,0.150933410606487,0.106393,-13.5,13.3,28,9,135,"Afrotropical"
"3","AFHS28841",1000,0.272473684398,0.263157895,0.143261186381103,0.179499,16.6,11,27.9,22,62,"Afrotropical"
"4","AFHS34726",1000,0.223789473835,0.157894737,0.147691097540488,0.09573,-14.1,11.3,26.3,58,147,"Afrotropical"
"5","AFHS39731",1000,0.254421052816,0.210526316,0.126515436702905,0.173222,3.9,7.6,26.8,101,91,"Afrotropical"
"6","AFHS39933",1000,0.252105263348,0.210526316,0.134415966815813,0.132665,2.4,8.4,26.9,93,111,"Afrotropical"
"7","AFHS40106",1000,0.255789473871,0.210526316,0.138064191571393,0.094149,1.3,8,26.6,128,50,"Afrotropical"
"8","AFHS40877",1000,0.243157894919,0.210526316,0.139514657592042,0.18201,-1.4,10.5,27.6,130,96,"Afrotropical"
"9","AFHS41919",1000,0.253947368537,0.210526316,0.166572015978883,0.101645,-4.3,5.9,26.4,31,144,"Afrotropical"
"10","AFHS42117",1000,0.258578947556,0.263157895,0.136173723171994,0.125816,-4,8.5,26.1,99,141,"Afrotropical"
"11","AFHS42296",1000,0.223526315953,0.1842105265,0.133983000846723,0.119047,-2.7,6.3,25.7,64,156,"Afrotropical"
"12","AFHS42321",1000,0.283473684365,0.263157895,0.151587164324764,0.094565,-5.4,8,25.7,111,6,"Afrotropical"
"13","AFHS42682",1000,0.222947368606,0.157894737,0.119619311565314,0.135471,-1.4,6.2,26.2,57,54,"Afrotropical"
"14","AFHS42801",1000,0.276263158083,0.263157895,0.129189075491238,0.106179,-7.1,7.4,25.5,134,132,"Afrotropical"
"15","AFHS43174",1000,0.237947368589,0.210526316,0.135808007856999,0.265167,8.6,6.2,27.6,23,107,"Afrotropical"
"16","AFHS44377",1000,0.24394736862,0.210526316,0.113009515738274,0.146077,7.3,5.2,27.7,68,143,"Afrotropical"
"17","AFHS45465",1000,0.243210526501,0.210526316,0.139054378043821,0.272803,3.5,13.8,28.6,42,53,"Afrotropical"
"18","AFHS54029",1000,0.167789473834,0.157894737,0.117801486504388,0.878033,22.9,-2.5,24.9,59,88,"Afrotropical"
"19","AFHS57499",1000,0.19342105278,0.157894737,0.125159510732804,0.180906,36.9,-12.1,23.1,30,38,"Afrotropical"
"21","AFHS72030",1000,0.222000000124,0.157894737,0.173071401214298,0.13529,31.8,-20.2,20.9,32,14,"Afrotropical"
