"","GRIDCODE","lat","long","SST","Prod","Dist","bio","TL.mean","TL.med"
"1",1,70,-176,1,0.09,178,0.13614937,3.57501513629162,3.49
"2",2,70,-168,2.5,-0.05,141,0.145124533,3.57474216470273,3.5
"3",3,70,-160,2.2,-0.32,0,0.150420706,3.5390263720355,3.46
"4",4,70,-152,1.2,-0.09,0,0.194729833,3.52581762287398,3.5
"5",5,70,-144,0.7,-0.6,0,0.204674332,3.50935692799798,3.49
"6",6,70,-136,2.7,-0.07,68,0.190221399,3.5032046852444,3.49
"7",15,70,-64,1.9,-0.1,122,0.111247724,3.556050003613,3.5
"8",16,70,-56,3.5,-0.33,43,0.130466876,3.603610001306,3.5
"9",19,70,-32,3.1,-0.17,0,0.217896122,3.62733401565475,3.539999962
"10",20,70,-24,2.9,-0.13,0,0.25335718,3.61553320149497,3.5
"11",21,70,-16,0.6,-0.02,234,0.252382403,3.56534137035643,3.5
"12",22,70,-8,1.8,-0.21,534,0.269595434,3.5818145179254,3.5
"13",23,70,0,4.2,-0.16,589,0.24312061,3.59917421749547,3.57
"14",24,70,8,5.4,-0.06,294,0.222294793,3.59914893597062,3.54
"15",25,70,16,5.3,-0.06,71,0.158075698,3.558239997762,3.5
"16",26,70,24,4.9,-0.15,0,0.139808923,3.632740004129,3.59
"17",46,52,-176,6.4,0.01,30,0.20999966,3.58861755641877,3.51
"18",47,52,-168,6.2,-0.11,139,0.228749624,3.57538771235347,3.5
"19",48,52,-160,7.5,-0.36,340,0.232754865,3.60202479404545,3.51
"20",49,52,-152,7.8,-0.17,657,0.19594674,3.57548152038193,3.5
"21",51,52,-136,10.4,-0.17,434,0.231911893,3.55430691106809,3.5
"22",52,52,-128,10.7,-0.01,8,0.241593573,3.56053900672644,3.5
"23",53,52,-120,10.7,-0.01,0,0.201303347,3.50548629497563,3.49
"24",60,52,-64,4,-0.08,0,0.205308768,3.59172157476196,3.5
"25",61,52,-56,6.6,-0.08,14,0.236306475,3.59787169034827,3.505
"26",62,52,-48,7.1,-0.14,533,0.24418923,3.60225610138618,3.5
"27",63,52,-40,10.1,-0.04,1096,0.242403964,3.57045824932077,3.45
"28",64,52,-32,10.9,-0.1,1497,0.238514244,3.524430002872,3.4
"29",66,52,-16,13.4,-0.06,385,0.283428324,3.63962814104925,3.52
"30",67,52,-8,11.8,-0.19,8,0.325517961,3.62980710702944,3.54
"31",68,52,0,10.8,0.01,1,0.280437736,3.60707070617071,3.555
"32",69,52,8,10.6,-0.14,0,0.191532834,3.58773930450611,3.5
"33",70,52,16,9.9,-0.13,0,0.216635787,3.53062373902616,3.47
"34",90,52,176,6.4,-0.29,977,0.183481749,3.62186022663412,3.51
"35",97,40,-128,13.4,-0.13,314,0.369912739,3.59560443962866,3.5
"36",98,40,-120,11.9,-0.14,0,0.332686398,3.55459633102345,3.5
"37",103,40,-80,12.1,0.1,0,0.309327798,3.70505482529276,3.64
"38",104,40,-72,12.3,-0.07,97,0.463362897,3.6190655574256,3.5
"39",105,40,-64,10.8,-0.2,411,0.446071715,3.63221868610062,3.5
"40",106,40,-56,12.7,-0.14,748,0.369943063,3.61534623331466,3.5
"41",107,40,-48,10.9,-0.19,851,0.284687278,3.57177370007951,3.49
"42",108,40,-40,17.1,-0.11,1298,0.261041828,3.549469999753,3.4
"43",109,40,-32,17.8,-0.16,1944,0.328535902,3.631560000677,3.5
"44",110,40,-24,17.4,-0.14,1256,0.341549219,3.60348996134639,3.49
"45",111,40,-16,15.8,-0.18,577,0.327966395,3.61069416569215,3.5
"46",112,40,-8,15.6,-0.23,0,0.450174828,3.59152525029495,3.5
"47",113,40,0,14.7,0.16,0,0.375347002,3.59144590548837,3.5
"48",114,40,8,17,0.15,35,0.311905492,3.55672782688889,3.5
"49",115,40,16,18,-0.12,0,0.311744747,3.58136409091876,3.47
"50",116,40,24,16.4,-0.5,1,0.289945478,3.5353299494599,3.45
"51",130,40,136,13.7,-0.2,317,0.579306501,3.55997989993568,3.5
"52",131,40,144,12.4,-0.44,175,0.520338956,3.60846076452113,3.5
"53",137,30,-168,19.8,-0.18,2892,0.304798646,3.789679997093,3.87
"54",143,30,-120,15.5,-0.23,382,0.417153829,3.58387601773882,3.5
"55",144,30,-112,20.8,-0.44,0,0.375870714,3.57805705571471,3.5
"56",146,30,-96,21,0.08,0,0.39926719,3.62212539739107,3.53
"57",147,30,-88,21,-0.04,9,0.46511967,3.6506680808017,3.55
"58",148,30,-80,22.3,-0.03,129,0.517017158,3.58834374900625,3.5
"59",149,30,-72,23.2,-0.08,701,0.465806343,3.65287056359395,3.55
"60",150,30,-64,23,-0.14,1280,0.362526844,3.61714730191909,3.5
"61",151,30,-56,22.7,-0.07,1530,0.301756045,3.65480846772984,3.55
"62",152,30,-48,22.1,-0.1,2155,0.282960403,3.68977844862236,3.62
"63",153,30,-40,22,-0.09,2556,0.280097776,3.66279959737362,3.62
"64",154,30,-32,21.2,-0.18,1771,0.308404549,3.69490241446076,3.555
"65",155,30,-24,20.8,-0.1,1029,0.34828761,3.58763819011256,3.4
"66",156,30,-16,20,-0.12,385,0.48116094,3.65365757529899,3.55
"67",157,30,-8,18.9,-0.1,0,0.403900941,3.58285975545732,3.5
"68",159,30,8,20,-0.04,0,0.256312305,3.654379993101,3.55
"69",160,30,16,20.3,-0.15,0,0.276788265,3.571579994937,3.5
"70",161,30,24,20.6,-0.17,0,0.284115838,3.520599999598,3.46
"71",162,30,32,22.4,-0.05,0,0.437668065,3.50259595832222,3.5
"72",164,30,48,21,-0.21,0,0.198677555,3.540699998692,3.5
"73",165,30,56,21,-0.28,0,0.292694573,3.662280000448,3.640000105
"74",173,30,120,17.6,-0.15,0,0.531357853,3.72620724159457,3.72
"75",174,30,128,21.3,-0.08,260,0.733517745,3.5416448030555,3.5
"76",175,30,136,21.6,-0.09,363,0.666606948,3.58112903239919,3.5
"77",176,30,144,22.3,-0.02,656,0.486713221,3.54294832540628,3.4
"78",182,21,-168,25.5,-0.1,1326,0.333262331,3.5758442849727,3.5
"79",183,21,-160,25.4,-0.05,458,0.396051413,3.61857868035635,3.5
"80",184,21,-152,24.1,-0.12,351.53,0.372287706,3.515120001885,3.42
"81",189,21,-112,21.5,0.02,278,0.409505814,3.57147943635908,3.5
"82",190,21,-104,23.9,-0.06,0,0.339088808,3.60190380716032,3.53
"83",191,21,-96,25.9,0.05,136,0.415093546,3.62407232852725,3.5
"84",192,21,-88,27.1,-0.05,0,0.461430044,3.56716719851438,3.5
"85",193,21,-80,26.8,0,51,0.519611481,3.61498958360104,3.5
"86",194,21,-72,26.6,-0.14,151,0.478194633,3.54719424392703,3.5
"87",195,21,-64,26.4,-0.13,373,0.415490533,3.58420395419251,3.5
"88",196,21,-56,25.9,-0.06,1071,0.323752581,3.68473041570092,3.61
"89",199,21,-32,23.9,-0.14,1539,0.326255494,3.637870000174,3.5
"90",200,21,-24,22.6,-0.15,726,0.417572176,3.66773869526633,3.51
"91",201,21,-16,18.9,0.08,0,0.474864318,3.64634368677254,3.55
"92",207,21,32,27.5,0.07,0,0.263033962,3.45470468325255,3.44
"93",208,21,40,27.5,0.07,0,0.301485951,3.50808121637259,3.46
"94",210,21,56,27.2,-0.06,0,0.380068315,3.54162162085886,3.5
"95",211,21,64,26.5,-0.2,432,0.36160969,3.63680402050452,3.55
"96",212,21,72,26.3,-0.03,0,0.38618606,3.6505443548629,3.57
