"","GRIDCODE","lat","lat.t","long","N","niche.mean","niche.med","niche.sd","niche.min","niche.max","niche.range","SST","Prod","Dist","bio"
"1",1,70,160,-176,1000,0.185161290504,0.193548387,0.0949125071967358,0.032258065,0.483870968,0.451612903,1,0.09,178,0.13614937
"2",2,70,160,-168,1000,0.2053225808,0.193548387,0.0992124777452735,0.032258065,0.483870968,0.451612903,2.5,-0.05,141,0.145124533
"3",3,70,160,-160,1000,0.195193548499,0.193548387,0.0980859730292027,0.032258065,0.483870968,0.451612903,2.2,-0.32,0,0.150420706
"4",4,70,160,-152,1000,0.189129032402,0.193548387,0.096100375148887,0.032258065,0.483870968,0.451612903,1.2,-0.09,0,0.194729833
"5",5,70,160,-144,1000,0.18532258081,0.161290323,0.106543869476494,0.032258065,0.64516129,0.612903225,0.7,-0.6,0,0.204674332
"6",6,70,160,-136,1000,0.186451613067,0.193548387,0.091408390642812,0.032258065,0.483870968,0.451612903,2.7,-0.07,68,0.190221399
"7",7,70,160,-128,1000,0.160806451826,0.161290323,0.0721729104172696,0.032258065,0.322580645,0.29032258,1.8,-0.12,0,0.041727204
"8",10,70,160,-104,1000,0.155967742117,0.129032258,0.0679276195912351,0.032258065,0.322580645,0.29032258,-0.5,0.16,0,0.030353043
"9",12,70,160,-88,1000,0.187354838865,0.129032258,0.164899197362809,0.032258065,0.838709677,0.806451612,1,-0.24,28,0.064822154
"10",13,70,160,-80,1000,0.172967742103,0.161290323,0.0818324941699333,0.032258065,0.387096774,0.354838709,1.7,-0.14,3,0.081547325
"11",14,70,160,-72,1000,0.181032258206,0.161290323,0.0974523687181491,0.032258065,0.64516129,0.612903225,1.8,-0.11,0,0.096657049
"12",15,70,160,-64,1000,0.19964516142,0.161290323,0.135779232467733,0.032258065,0.838709677,0.806451612,1.9,-0.1,122,0.111247724
"13",16,70,160,-56,1000,0.216225806594,0.161290323,0.14398344254107,0.032258065,0.838709677,0.806451612,3.5,-0.33,43,0.130466876
"14",17,70,160,-48,1000,0.252225806609,0.225806452,0.172605876433313,0.032258065,0.838709677,0.806451612,3.5,-0.49,0,0.140510575
"15",18,70,160,-40,1000,0.216032258196,0.161290323,0.11775968715069,0.064516129,0.64516129,0.580645161,3.2,0.11,0,0.140027387
"16",19,70,160,-32,1000,0.200548387221,0.161290323,0.125005423056615,0.032258065,0.838709677,0.806451612,3.1,-0.17,0,0.217896122
"17",20,70,160,-24,1000,0.207064516258,0.161290323,0.128487982281846,0.032258065,0.838709677,0.806451612,2.9,-0.13,0,0.25335718
"18",21,70,160,-16,1000,0.205419354959,0.193548387,0.125058178293474,0.032258065,0.838709677,0.806451612,0.6,-0.02,234,0.252382403
"19",22,70,160,-8,1000,0.22496774202,0.193548387,0.150791098560667,0.032258065,0.838709677,0.806451612,1.8,-0.21,534,0.269595434
"20",23,70,160,0,1000,0.266677419469,0.225806452,0.155719985274121,0.032258065,0.838709677,0.806451612,4.2,-0.16,589,0.24312061
"21",24,70,160,8,1000,0.249064516239,0.225806452,0.161935353171922,0.032258065,0.838709677,0.806451612,5.4,-0.06,294,0.222294793
"22",25,70,160,16,1000,0.240096774334,0.193548387,0.155703395466052,0.032258065,0.838709677,0.806451612,5.3,-0.06,71,0.158075698
"23",26,70,160,24,1000,0.263483871123,0.225806452,0.165632330133562,0.064516129,0.838709677,0.774193548,4.9,-0.15,0,0.139808923
"24",27,70,160,32,1000,0.261548387209,0.193548387,0.174741312094164,0.064516129,0.838709677,0.774193548,4.6,-0.21,4,0.132946938
"25",44,70,160,168,1000,0.202064516298,0.193548387,0.0977770163442493,0.032258065,0.451612903,0.419354838,0.1,0.64,3,0.139931224
"26",45,70,160,176,1000,0.193451613033,0.193548387,0.0899344411137444,0.032258065,0.483870968,0.451612903,0.4,-0.2,14,0.128036936
"27",46,52,142,-176,1000,0.195612903387,0.193548387,0.0976042842594229,0.032258065,0.483870968,0.451612903,6.4,0.01,30,0.20999966
"28",47,52,142,-168,1000,0.188193548539,0.161290323,0.106653646806041,0.032258065,0.838709677,0.806451612,6.2,-0.11,139,0.228749624
"29",48,52,142,-160,1000,0.198806451774,0.193548387,0.109268235238792,0.032258065,0.838709677,0.806451612,7.5,-0.36,340,0.232754865
"30",49,52,142,-152,1000,0.189290322754,0.193548387,0.092501364211775,0.032258065,0.483870968,0.451612903,7.8,-0.17,657,0.19594674
"31",50,52,142,-144,1000,0.152290322762,0.129032258,0.0930659555868489,0.032258065,0.387096774,0.354838709,9,-0.2,933,0.169575723
"32",51,52,142,-136,1000,0.176000000168,0.161290323,0.0971022671000761,0.032258065,0.548387097,0.516129032,10.4,-0.17,434,0.231911893
"33",52,52,142,-128,1000,0.173935484039,0.161290323,0.103400107869122,0.032258065,0.838709677,0.806451612,10.7,-0.01,8,0.241593573
"34",53,52,142,-120,1000,0.193709677592,0.161290323,0.121785315502555,0.032258065,0.741935484,0.709677419,10.7,-0.01,0,0.201303347
