GRIDCODE	lat	lat.t	long	SST	Prod	Dist_Coast	N	niche.mean	niche.med	niche.sd	niche.min	niche.max	niche.range	bio
1	70	160	-176	1	0.09	178	110	0.19	0.19	0.1	0.03	0.48	0.45	0.14
2	70	160	-168	2.5	-0.05	141	90	0.2	0.19	0.1	0.03	0.48	0.45	0.15
3	70	160	-160	2.2	-0.32	0	71	0.19	0.19	0.1	0.03	0.48	0.45	0.15
4	70	160	-152	1.2	-0.09	0	133	0.19	0.19	0.09	0.03	0.48	0.45	0.19
5	70	160	-144	0.7	-0.6	0	148	0.18	0.16	0.1	0.03	0.65	0.61	0.2
6	70	160	-136	2.7	-0.07	68	113	0.19	0.19	0.09	0.03	0.48	0.45	0.19
7	70	160	-128	1.8	-0.12	0	35	0.16	0.16	0.08	0.03	0.32	0.29	0.04
8	70	160	-120	3	-0.18	51	23	0.18	0.16	0.08	0.06	0.35	0.29	0.03
9	70	160	-112	0.1	0.09	0	27	0.17	0.16	0.07	0.06	0.32	0.26	0.03
10	70	160	-104	-0.5	0.16	0	33	0.16	0.13	0.07	0.03	0.32	0.29	0.03
11	70	160	-96	-0.9	1.17	0	31	0.18	0.13	0.15	0.03	0.84	0.81	0.06
12	70	160	-88	1	-0.24	28	30	0.19	0.13	0.17	0.03	0.84	0.81	0.06
13	70	160	-80	1.7	-0.14	3	33	0.17	0.16	0.08	0.03	0.39	0.35	0.08
14	70	160	-72	1.8	-0.11	0	43	0.19	0.16	0.11	0.03	0.65	0.61	0.1
15	70	160	-64	1.9	-0.1	122	117	0.2	0.16	0.14	0.03	0.84	0.81	0.11
16	70	160	-56	3.5	-0.33	43	98	0.22	0.18	0.15	0.03	0.84	0.81	0.13
17	70	160	-48	3.5	-0.49	0	63	0.25	0.19	0.18	0.03	0.84	0.81	0.14
18	70	160	-40	3.2	0.11	0	55	0.22	0.19	0.12	0.06	0.65	0.58	0.14
19	70	160	-32	3.1	-0.17	0	106	0.19	0.16	0.12	0.03	0.84	0.81	0.22
20	70	160	-24	2.9	-0.13	0	107	0.22	0.19	0.14	0.03	0.84	0.81	0.25
21	70	160	-16	0.6	-0.02	234	147	0.2	0.16	0.13	0.03	0.84	0.81	0.25
22	70	160	-8	1.8	-0.21	534	157	0.23	0.19	0.15	0.03	0.84	0.81	0.27
23	70	160	0	4.2	-0.16	589	122	0.27	0.23	0.16	0.03	0.84	0.81	0.24
24	70	160	8	5.4	-0.06	294	157	0.24	0.19	0.15	0.03	0.84	0.81	0.22
25	70	160	16	5.3	-0.06	71	117	0.25	0.19	0.16	0.03	0.84	0.81	0.16
26	70	160	24	4.9	-0.15	0	83	0.27	0.23	0.17	0.06	0.84	0.77	0.14
27	70	160	32	4.6	-0.21	4	64	0.27	0.21	0.18	0.06	0.84	0.77	0.13
28	70	160	40	3.6	0	170	21	0.28	0.26	0.16	0.1	0.84	0.74	0.13
29	70	160	48	3.5	0	189	7	0.34	0.26	0.16	0.19	0.65	0.45	0.1
30	70	160	56	3.3	-0.04	67	11	0.21	0.19	0.1	0.06	0.39	0.32	0.09
31	70	160	64	2.8	-0.13	43	8	0.17	0.16	0.05	0.1	0.23	0.13	0.07
32	70	160	72	4.2	0.21	0	7	0.17	0.13	0.1	0.06	0.39	0.32	0.06
33	70	160	80	4	0.23	0	1	0.13	0.13	NA	0.13	0.13	0	0.05
34	70	160	88	3.1	0.59	0	1	0.13	0.13	NA	0.13	0.13	0	0.05
35	70	160	96	3.1	0.59	0	3	0.18	0.19	0.05	0.13	0.23	0.1	0.05
36	70	160	104	3.1	0.05	0	4	0.13	0.13	0.05	0.06	0.19	0.13	0.05
37	70	160	112	1.2	0.05	0	6	0.14	0.13	0.06	0.06	0.23	0.16	0.04
38	70	160	120	2.2	0.13	0	3	0.14	0.13	0.08	0.06	0.23	0.16	0.04
39	70	160	128	1.6	0.09	0	2	0.11	0.11	0.07	0.06	0.16	0.1	0.04
40	70	160	136	2	-0.04	0	1	0.13	0.13	NA	0.13	0.13	0	0.04
41	70	160	144	-0.1	0.14	0	7	0.12	0.13	0.05	0.06	0.23	0.16	0.11
42	70	160	152	2	-0.15	0	12	0.17	0.16	0.1	0.03	0.35	0.32	0.11
43	70	160	160	0.6	-0.05	5	16	0.19	0.19	0.09	0.03	0.39	0.35	0.13
44	70	160	168	0.1	0.64	3	32	0.2	0.19	0.1	0.03	0.45	0.42	0.14
45	70	160	176	0.4	-0.2	14	62	0.19	0.19	0.09	0.03	0.48	0.45	0.13
46	52	142	-176	6.4	0.01	30	122	0.19	0.19	0.1	0.03	0.48	0.45	0.21
47	52	142	-168	6.2	-0.11	139	155	0.19	0.16	0.11	0.03	0.84	0.81	0.23
48	52	142	-160	7.5	-0.36	340	134	0.19	0.19	0.11	0.03	0.84	0.81	0.23
49	52	142	-152	7.8	-0.17	657	130	0.19	0.19	0.09	0.03	0.48	0.45	0.2
50	52	142	-144	9	-0.2	933	34	0.15	0.13	0.1	0.03	0.39	0.35	0.17
51	52	142	-136	10.4	-0.17	434	149	0.18	0.16	0.1	0.03	0.55	0.52	0.23
52	52	142	-128	10.7	-0.01	8	216	0.18	0.16	0.11	0.03	0.84	0.81	0.24
53	52	142	-120	10.7	-0.01	0	149	0.19	0.16	0.11	0.03	0.74	0.71	0.2
56	52	142	-96	8	-0.21	0	8	0.15	0.1	0.12	0.03	0.32	0.29	0.04
57	52	142	-88	8	-0.19	0	4	0.13	0.13	0.03	0.1	0.16	0.06	0.05
58	52	142	-80	3.6	-0.24	40	22	0.21	0.16	0.13	0.06	0.65	0.58	0.06
59	52	142	-72	0.9	-0.23	0	51	0.31	0.23	0.21	0.03	0.84	0.81	0.11
60	52	142	-64	4	-0.08	0	126	0.26	0.23	0.18	0.03	0.84	0.81	0.21
61	52	142	-56	6.6	-0.08	14	180	0.23	0.19	0.17	0.03	0.84	0.81	0.24
62	52	142	-48	7.1	-0.14	533	169	0.21	0.16	0.16	0.03	0.84	0.81	0.24
63	52	142	-40	10.1	-0.04	1096	140	0.21	0.16	0.16	0.03	0.84	0.81	0.24
64	52	142	-32	10.9	-0.1	1497	126	0.16	0.13	0.1	0.03	0.42	0.39	0.24
65	52	142	-24	13	-0.14	960	109	0.15	0.13	0.09	0.03	0.45	0.42	0.24
66	52	142	-16	13.4	-0.06	385	220	0.18	0.16	0.12	0.03	0.77	0.74	0.28
67	52	142	-8	11.8	-0.19	8	316	0.21	0.19	0.14	0.03	0.84	0.81	0.33
68	52	142	0	10.8	0.01	1	214	0.24	0.23	0.15	0.03	0.84	0.81	0.28
69	52	142	8	10.6	-0.14	0	169	0.25	0.23	0.16	0.03	0.84	0.81	0.19
70	52	142	16	9.9	-0.13	0	138	0.26	0.23	0.16	0.03	0.84	0.81	0.22
71	52	142	24	9.5	-0.14	0	28	0.35	0.34	0.23	0.06	0.84	0.77	0.07
85	52	142	136	8.1	-0.93	0	11	0.16	0.16	0.1	0.03	0.39	0.35	0.19
86	52	142	144	9.6	-0.2	0	43	0.17	0.16	0.1	0.03	0.42	0.39	0.25
87	52	142	152	6.8	-0.25	305	26	0.2	0.19	0.1	0.03	0.42	0.39	0.24
88	52	142	160	7.1	-0.47	119	44	0.21	0.21	0.12	0.03	0.48	0.45	0.22
89	52	142	168	5.8	-0.05	573	33	0.22	0.23	0.11	0.03	0.48	0.45	0.19
90	52	142	176	6.4	-0.29	977	94	0.2	0.19	0.1	0.03	0.48	0.45	0.18
91	40	130	-176	11.7	-0.11	1946	23	0.14	0.1	0.09	0.03	0.35	0.32	0.28
92	40	130	-168	12.2	-0.16	1721	22	0.18	0.16	0.11	0.03	0.42	0.39	0.29
93	40	130	-160	12.5	-0.17	1770	17	0.17	0.19	0.09	0.03	0.35	0.32	0.27
94	40	130	-152	13	-0.2	2359	13	0.22	0.23	0.08	0.1	0.35	0.26	0.28
95	40	130	-144	14.3	-0.16	1677	32	0.15	0.15	0.08	0.03	0.35	0.32	0.27
96	40	130	-136	14.3	-0.28	990	52	0.14	0.1	0.08	0.03	0.35	0.32	0.28
97	40	130	-128	13.4	-0.13	314	237	0.16	0.13	0.09	0.03	0.42	0.39	0.37
98	40	130	-120	11.9	-0.14	0	240	0.17	0.16	0.1	0.03	0.65	0.61	0.33
102	40	130	-88	12.1	0.1	0	13	0.34	0.26	0.2	0.13	0.74	0.61	0.01
103	40	130	-80	12.1	0.1	0	137	0.27	0.23	0.18	0.03	0.84	0.81	0.31
104	40	130	-72	12.3	-0.07	97	664	0.18	0.13	0.14	0.03	0.84	0.81	0.46
105	40	130	-64	10.8	-0.2	411	572	0.18	0.13	0.13	0.03	0.84	0.81	0.45
106	40	130	-56	12.7	-0.14	748	377	0.18	0.13	0.14	0.03	0.84	0.81	0.37
107	40	130	-48	10.9	-0.19	851	242	0.19	0.13	0.15	0.03	0.84	0.81	0.28
108	40	130	-40	17.1	-0.11	1298	110	0.14	0.11	0.09	0.03	0.48	0.45	0.26
109	40	130	-32	17.8	-0.16	1944	221	0.15	0.13	0.1	0.03	0.45	0.42	0.33
110	40	130	-24	17.4	-0.14	1256	250	0.15	0.13	0.1	0.03	0.55	0.52	0.34
111	40	130	-16	15.8	-0.18	577	189	0.16	0.13	0.11	0.03	0.71	0.68	0.33
112	40	130	-8	15.6	-0.23	0	346	0.19	0.16	0.12	0.03	0.84	0.81	0.45
113	40	130	0	14.7	0.16	0	384	0.19	0.16	0.12	0.03	0.77	0.74	0.38
114	40	130	8	17	0.15	35	312	0.19	0.16	0.12	0.03	0.77	0.74	0.31
115	40	130	16	18	-0.12	0	288	0.19	0.16	0.12	0.03	0.77	0.74	0.31
116	40	130	24	16.4	-0.5	1	239	0.2	0.16	0.13	0.03	0.77	0.74	0.29
128	40	130	120	13	-0.2	3	31	0.16	0.16	0.08	0.03	0.29	0.26	0.21
129	40	130	128	11.8	-0.2	197	36	0.16	0.13	0.1	0.03	0.39	0.35	0.43
130	40	130	136	13.7	-0.2	317	420	0.13	0.13	0.08	0.03	0.39	0.35	0.58
131	40	130	144	12.4	-0.44	175	298	0.14	0.13	0.08	0.03	0.42	0.39	0.52
132	40	130	152	12.7	-0.29	850	42	0.15	0.15	0.09	0.03	0.35	0.32	0.36
133	40	130	160	10.7	-0.15	1260	10	0.19	0.21	0.08	0.06	0.35	0.29	0.3
134	40	130	168	10.8	-0.2	1890	32	0.15	0.16	0.09	0.03	0.35	0.32	0.29
135	40	130	176	11.7	-0.04	1923	11	0.2	0.19	0.09	0.1	0.35	0.26	0.26
136	30	120	-176	20.4	-0.03	3098	76	0.15	0.13	0.09	0.03	0.35	0.32	0.3
137	30	120	-168	19.8	-0.18	2892	93	0.14	0.13	0.08	0.03	0.35	0.32	0.3
138	30	120	-160	20.1	-0.05	2860	46	0.12	0.1	0.08	0.03	0.35	0.32	0.3
139	30	120	-152	19.5	-0.13	2957	57	0.15	0.13	0.09	0.03	0.35	0.32	0.31
140	30	120	-144	20.2	-0.05	2244	52	0.14	0.13	0.08	0.03	0.35	0.32	0.29
141	30	120	-136	19.5	-0.12	1546	57	0.13	0.13	0.08	0.03	0.35	0.32	0.29
142	30	120	-128	17.5	-0.06	852	62	0.15	0.13	0.09	0.03	0.35	0.32	0.36
143	30	120	-120	15.5	-0.23	382	349	0.16	0.13	0.09	0.03	0.55	0.52	0.42
144	30	120	-112	20.8	-0.44	0	434	0.14	0.13	0.09	0.03	0.48	0.45	0.38
146	30	120	-96	21	0.08	0	408	0.19	0.16	0.13	0.03	0.84	0.81	0.4
147	30	120	-88	21	-0.04	9	603	0.17	0.13	0.12	0.03	0.84	0.81	0.47
148	30	120	-80	22.3	-0.03	129	767	0.17	0.13	0.12	0.03	0.84	0.81	0.52
149	30	120	-72	23.2	-0.08	701	443	0.17	0.13	0.12	0.03	0.74	0.71	0.47
150	30	120	-64	23	-0.14	1280	415	0.16	0.13	0.12	0.03	0.84	0.81	0.36
151	30	120	-56	22.7	-0.07	1530	160	0.14	0.1	0.1	0.03	0.65	0.61	0.3
152	30	120	-48	22.1	-0.1	2155	154	0.13	0.1	0.09	0.03	0.39	0.35	0.28
153	30	120	-40	22	-0.09	2556	157	0.13	0.1	0.09	0.03	0.39	0.35	0.28
154	30	120	-32	21.2	-0.18	1771	198	0.14	0.1	0.1	0.03	0.71	0.68	0.31
155	30	120	-24	20.8	-0.1	1029	140	0.13	0.1	0.08	0.03	0.35	0.32	0.35
156	30	120	-16	20	-0.12	385	420	0.16	0.13	0.11	0.03	0.71	0.68	0.48
157	30	120	-8	18.9	-0.1	0	189	0.19	0.16	0.12	0.03	0.71	0.68	0.4
159	30	120	8	20	-0.04	0	64	0.26	0.23	0.14	0.03	0.71	0.68	0.26
160	30	120	16	20.3	-0.15	0	194	0.16	0.13	0.12	0.03	0.71	0.68	0.28
161	30	120	24	20.6	-0.17	0	150	0.19	0.16	0.12	0.03	0.71	0.68	0.28
162	30	120	32	22.4	-0.05	0	562	0.14	0.13	0.1	0.03	0.58	0.55	0.44
163	30	120	40	21	0.13	0	53	0.17	0.16	0.13	0.03	0.55	0.52	0.27
164	30	120	48	21	-0.21	0	155	0.13	0.1	0.08	0.03	0.35	0.32	0.2
165	30	120	56	21	-0.28	0	162	0.14	0.13	0.08	0.03	0.35	0.32	0.29
166	30	120	64	21	-0.28	0	14	0.28	0.21	0.17	0.13	0.58	0.45	0.19
167	30	120	72	21	-0.28	0	33	0.16	0.13	0.09	0.03	0.32	0.29	0
173	30	120	120	17.6	-0.15	0	120	0.13	0.13	0.07	0.03	0.39	0.35	0.53
174	30	120	128	21.3	-0.08	260	613	0.12	0.1	0.08	0.03	0.39	0.35	0.73
175	30	120	136	21.6	-0.09	363	438	0.13	0.1	0.08	0.03	0.55	0.52	0.67
176	30	120	144	22.3	-0.02	656	135	0.15	0.13	0.09	0.03	0.35	0.32	0.49
177	30	120	152	21.5	-0.03	1221	28	0.15	0.16	0.09	0.03	0.35	0.32	0.3
